Rank,Player,Trends,Avg Pick,HI/LO,% Drafted,
1,Todd Gurley RB | LAR *,,1.24, 1/3,99.6
2,Le'Veon Bell RB | PIT  *,,2.25, 1/5,99.6
3,David Johnson RB | ARI *,,3.95, 2/7,99.6
4,Ezekiel Elliott RB | DAL *,,3.96, 2/7,99.6
5,Antonio Brown WR | PIT  *,,6.07, 3/11,99.6
6,Saquon Barkley RB | NYG  *, +1,6.74, 3/12,99.9
7,Alvin Kamara RB | NO *, -1,7.05, 4/12,99.6
8,Kareem Hunt RB | KC *,,8.43, 5/14,99.6
9,Leonard Fournette RB | JAC *,,10.25, 6/17,99.6
10,Melvin Gordon RB | LAC  *,,11.21, 7/18,99.6
11,DeAndre Hopkins WR | HOU *,,12.01, 7/19,99.7
12,Odell Beckham WR | NYG  *, +1,14.11, 8/23,99.7
13,Christian McCaffrey RB | CAR *, +2,14.52, 8/24,99.6
14,Dalvin Cook RB | MIN *, -2,14.70, 10/23,99.6
15,Julio Jones WR | ATL *, -1,15.05, 9/23,99.7
16,Devonta Freeman RB | ATL  *,,16.64, 10/26,99.7
17,Aaron Rodgers QB | GB  *,,18.99, 3/37,97.0
18,Michael Thomas WR | NO *,,20.48, 13/32,99.6
19,Keenan Allen WR | LAC *,,21.76, 14/34,99.7
20,Rob Gronkowski TE | NE  *,,21.78, 13/32,99.7
21,Davante Adams WR | GB *,,21.97, 15/32,99.7
22,A.J. Green WR | CIN *,,24.68, 17/36,99.7
23,LeSean McCoy RB | BUF  *, +1,26.61, 15/45,99.6
24,Tom Brady QB | NE *, +1,27.39, 6/53,97.0
25,Jordan Howard RB | CHI *, +3,27.61, 16/46,99.6
26,Travis Kelce TE | KC *,,27.62, 17/41,99.7,XXXXXX
27,Jerick McKinnon RB | SF  *, -4,28.42, 15/55,71.6
28,Joe Mixon RB | CIN *, -1,28.49, 18/46,99.6
29,Deshaun Watson QB | HOU  *,,29.96, 10/56,96.9
30,Mike Evans WR | TB *,,31.02, 21/46,99.7
31,Tyreek Hill WR | KC *,,31.94, 20/46,99.7
32,Stefon Diggs WR | MIN *,,31.95, 22/45,99.7
33,T.Y. Hilton WR | IND *,,36.41, 24/54,99.7
34,Alex Collins RB | BAL *, +1,36.92, 22/59,99.7
35,Royce Freeman RB | DEN  *, +6,38.18, 18/63,99.9
36,Amari Cooper WR | OAK *, -2,38.25, 26/53,99.7
37,Kenyan Drake RB | MIA *,,40.44, 25/64,99.6
38,Zach Ertz TE | PHI *, -2,40.84, 26/61,99.6
39,Adam Thielen WR | MIN  *, -1,41.98, 27/64,99.6
40,Lamar Miller RB | HOU *,,43.09, 28/65,99.6
41,Derrick Henry RB | TEN *, +2,43.20, 25/69,99.6
42,Jarvis Landry WR | CLE *, +2,43.89, 26/68,99.6
